Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180402,2850045824.0,762704063.0,3119938481.0,4062224347.0,7263229331.0,120438680061.0,14382763167.0
20180403,3260397773.0,972465988.0,3880759400.0,4538740904.0,7383426882.0,152992443829.0,18812254676.0
20180404,3653468097.0,1212589169.0,4726091099.0,5133401511.0,7465785744.0,154145642002.0,19438039256.0
20180405,4535493509.0,1707879994.0,6534095869.0,6447196791.0,7961401580.0,114386642858.0,13430728756.0
20180406,4986749235.0,1914991651.0,7293106763.0,7032022783.0,8132601236.0,149117094983.0,17304974008.0
20180407,3698314308.0,1139753364.0,4491929321.0,5024103912.0,7644373003.0,108256505845.0,13174816463.0
20180408,3189657094.0,941556009.0,3718639420.0,4400107901.0,6977819616.0,59591815476.0,6892855167.0
20180409,3119565975.0,919950031.0,3688944230.0,4424542769.0,7199564358.0,59407782043.0,7595005006.0
20180410,3646116087.0,1168923989.0,4609400682.0,5157543171.0,7592873989.0,93166302727.0,11687529277.0
20180411,3670431106.0,1161851433.0,4557257995.0,5039811922.0,6995206107.0,72220846428.0,8724179141.0
20180412,3367124909.0,1126669436.0,4469845910.0,4970539897.0,6841309140.0,58062396227.0,7453636802.0
20180413,3703594988.0,1337780646.0,5208296338.0,5550621395.0,7238779775.0,57471638458.0,5870685842.0
20180414,3098148403.0,965714538.0,3866493296.0,4616712312.0,7106113174.0,51895270874.0,6065982341.0
20180415,3776906960.0,1410013640.0,5513063874.0,5806070081.0,7591271075.0,72413409475.0,7423174137.0
20180416,4008975110.0,1478553792.0,5749546996.0,5936555305.0,7472339109.0,62224973862.0,5670210535.0
20180417,5152933712.0,2219163876.0,8415851736.0,7809779533.0,7871275192.0,75296740052.0,5695954084.0
20180418,5248819428.0,2216698836.0,8403096045.0,7789575502.0,7803518765.0,86509395804.0,8745733623.0
20180419,5267924017.0,2235174418.0,8464617244.0,7808603217.0,7709726527.0,75726844157.0,7791406550.0
20180420,5177417094.0,2215941425.0,8382602182.0,7736650214.0,7678108380.0,55945881106.0,4576934083.0
20180421,5167172701.0,2216543135.0,8382188997.0,7693231811.0,7609695117.0,64982377483.0,5603836755.0
20180422,4607535627.0,1840340820.0,7009799618.0,6705084985.0,7217315926.0,83217313072.0,9584187489.0
20180423,3816112378.0,1368528396.0,5314301511.0,5517722278.0,6842181172.0,67524820139.0,7708550526.0
20180424,5121401539.0,2184990166.0,8257397176.0,7582688296.0,7309434023.0,68915933837.0,6663820889.0
20180425,4273401288.0,1571874382.0,6046517571.0,5948224242.0,6933390542.0,120047546066.0,14485267201.0
20180426,4797314487.0,1910209024.0,7300570429.0,6889395923.0,7310605440.0,105631132112.0,10921805651.0
